2024-08-14 | 15:05:43.564 | DEBUG | passlib.utils.compat:__getattr__:449 | Thread 11848 | loaded lazy attr 'SafeConfigParser': <class 'configparser.ConfigParser'>
2024-08-14 | 15:08:43.663 | INFO | root:save_balance:183 | Thread 7272 | Redis успешно закрыт
2024-08-14 | 15:08:43.663 | DEBUG | aioredis:_do_close:158 | Thread 7272 | Closed 1 connection(s)
2024-08-14 | 15:08:43.663 | DEBUG | aioredis:_do_close:158 | Thread 7272 | Closed 1 connection(s)
2024-08-14 | 15:08:52.185 | DEBUG | passlib.utils.compat:__getattr__:449 | Thread 14164 | loaded lazy attr 'SafeConfigParser': <class 'configparser.ConfigParser'>
2024-08-14 | 15:08:52.185 | DEBUG | passlib.utils.compat:__getattr__:449 | Thread 14164 | loaded lazy attr 'NativeStringIO': <class '_io.StringIO'>
2024-08-14 | 15:08:52.185 | DEBUG | passlib.utils.compat:__getattr__:449 | Thread 14164 | loaded lazy attr 'BytesIO': <class '_io.BytesIO'>
2024-08-14 | 15:08:52.187 | DEBUG | passlib.registry:register_crypt_handler:296 | Thread 14164 | registered 'bcrypt' handler: <class 'passlib.handlers.bcrypt.bcrypt'>
2024-08-14 | 15:08:52.598 | DEBUG | aioredis:create_connection:110 | Thread 14164 | Creating tcp connection to ('localhost', 6379)
2024-08-14 | 15:08:54.635 | DEBUG | aioredis:create_connection:110 | Thread 14164 | Creating tcp connection to ('localhost', 6379)
2024-08-14 | 15:08:54.635 | DEBUG | aioredis:create_connection:110 | Thread 14164 | Creating tcp connection to ('localhost', 6379)
2024-08-14 | 15:08:54.637 | DEBUG | aioredis:_do_close:158 | Thread 14164 | Closed 1 connection(s)
2024-08-14 | 15:08:56.676 | INFO | root:get_uzcard_id:101 | Thread 14164 | Redis успешно закрыт
2024-08-14 | 15:08:56.677 | INFO | root:get_uzcard_id:101 | Thread 14164 | Redis успешно закрыт
2024-08-14 | 15:08:56.679 | DEBUG | aioredis:_do_close:158 | Thread 14164 | Closed 1 connection(s)
2024-08-14 | 15:08:56.679 | DEBUG | aioredis:_do_close:158 | Thread 14164 | Closed 1 connection(s)
2024-08-14 | 15:08:56.680 | DEBUG | httpx:load_ssl_context:80 | Thread 14164 | load_ssl_context verify=True cert=None trust_env=True http2=False
2024-08-14 | 15:08:56.682 | DEBUG | httpx:load_ssl_context_verify:146 | Thread 14164 | load_verify_locations cafile='C:\\Users\\user\\Desktop\\weel_bicycle\\venv\\Lib\\site-packages\\certifi\\cacert.pem'
2024-08-14 | 15:08:56.833 | DEBUG | httpcore.connection:atrace:85 | Thread 14164 | connect_tcp.started host='api.upay.uz' port=443 local_address=None timeout=5.0 socket_options=None
2024-08-14 | 15:08:56.833 | DEBUG | httpx:load_ssl_context:80 | Thread 14164 | load_ssl_context verify=True cert=None trust_env=True http2=False
2024-08-14 | 15:08:56.834 | DEBUG | httpx:load_ssl_context_verify:146 | Thread 14164 | load_verify_locations cafile='C:\\Users\\user\\Desktop\\weel_bicycle\\venv\\Lib\\site-packages\\certifi\\cacert.pem'
2024-08-14 | 15:08:57.007 | DEBUG | httpcore.connection:atrace:85 | Thread 14164 | connect_tcp.started host='api.upay.uz' port=443 local_address=None timeout=5.0 socket_options=None
2024-08-14 | 15:08:57.034 | DEBUG | httpcore.connection:atrace:85 | Thread 14164 | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x00000178D0AB0810>
2024-08-14 | 15:08:57.035 | DEBUG | httpcore.connection:atrace:85 | Thread 14164 | start_tls.started ssl_context=<ssl.SSLContext object at 0x00000178D0969F40> server_hostname='api.upay.uz' timeout=5.0
2024-08-14 | 15:08:57.035 | DEBUG | httpcore.connection:atrace:85 | Thread 14164 | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x00000178D0B46290>
2024-08-14 | 15:08:57.035 | DEBUG | httpcore.connection:atrace:85 | Thread 14164 | start_tls.started ssl_context=<ssl.SSLContext object at 0x00000178D0969400> server_hostname='api.upay.uz' timeout=5.0
2024-08-14 | 15:08:57.068 | DEBUG | httpcore.connection:atrace:85 | Thread 14164 | start_tls.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x00000178D0783ED0>
2024-08-14 | 15:08:57.068 | DEBUG | httpcore.http11:atrace:85 | Thread 14164 | send_request_headers.started request=<Request [b'POST']>
2024-08-14 | 15:08:57.068 | DEBUG | httpcore.http11:atrace:85 | Thread 14164 | send_request_headers.complete
2024-08-14 | 15:08:57.068 | DEBUG | httpcore.http11:atrace:85 | Thread 14164 | send_request_body.started request=<Request [b'POST']>
2024-08-14 | 15:08:57.069 | DEBUG | httpcore.http11:atrace:85 | Thread 14164 | send_request_body.complete
2024-08-14 | 15:08:57.069 | DEBUG | httpcore.http11:atrace:85 | Thread 14164 | receive_response_headers.started request=<Request [b'POST']>
2024-08-14 | 15:08:57.070 | DEBUG | httpcore.connection:atrace:85 | Thread 14164 | start_tls.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x00000178D0B467D0>
2024-08-14 | 15:08:57.070 | DEBUG | httpcore.http11:atrace:85 | Thread 14164 | send_request_headers.started request=<Request [b'POST']>
2024-08-14 | 15:08:57.070 | DEBUG | httpcore.http11:atrace:85 | Thread 14164 | send_request_headers.complete
2024-08-14 | 15:08:57.071 | DEBUG | httpcore.http11:atrace:85 | Thread 14164 | send_request_body.started request=<Request [b'POST']>
2024-08-14 | 15:08:57.071 | DEBUG | httpcore.http11:atrace:85 | Thread 14164 | send_request_body.complete
2024-08-14 | 15:08:57.071 | DEBUG | httpcore.http11:atrace:85 | Thread 14164 | receive_response_headers.started request=<Request [b'POST']>
2024-08-14 | 15:08:57.207 | DEBUG | httpcore.http11:atrace:85 | Thread 14164 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Server', b'nginx'), (b'Date', b'Wed, 14 Aug 2024 10:08:53 GMT'), (b'Content-Type', b'text/xml; charset=utf-8'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'Vary', b'Accept-Encoding'), (b'User-Remote-Ip-Address', b'90.156.160.97'), (b'X-XSS-Protection', b'1; mode=block'), (b'X-Content-Type-Options', b'nosniff'), (b'Referrer-Policy', b'no-referrer-when-downgrade'), (b'Referrer-Policy', b'strict-origin-when-cross-origin'), (b'Content-Security-Policy', b'frame-ancestors http://*.upay.uz https://*.upay.uz'), (b'Permissions-Policy', b'interest-cohort=()'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'X-Frame-Options', b'SAMEORIGIN'), (b'X-Permitted-Cross-Domain-Policies', b'master-only'), (b'Feature-Policy', b"camera 'none'; microphone 'none'; geolocation *"), (b'Expect-CT', b'max-age=86400, enforce, report-uri="https://upay.uz/ct_report"'), (b'Content-Encoding', b'gzip')])
2024-08-14 | 15:08:57.208 | INFO | httpx:_send_single_request:1773 | Thread 14164 | HTTP Request: POST https://api.upay.uz/STAPI/STWS?wsdl "HTTP/1.1 200 OK"
2024-08-14 | 15:08:57.208 | DEBUG | httpcore.http11:atrace:85 | Thread 14164 | receive_response_body.started request=<Request [b'POST']>
2024-08-14 | 15:08:57.209 | DEBUG | httpcore.http11:atrace:85 | Thread 14164 | receive_response_body.complete
2024-08-14 | 15:08:57.209 | DEBUG | httpcore.http11:atrace:85 | Thread 14164 | response_closed.started
2024-08-14 | 15:08:57.209 | DEBUG | httpcore.http11:atrace:85 | Thread 14164 | response_closed.complete
2024-08-14 | 15:08:57.209 | DEBUG | httpcore.connection:atrace:85 | Thread 14164 | close.started
2024-08-14 | 15:08:57.209 | DEBUG | httpcore.connection:atrace:85 | Thread 14164 | close.complete
2024-08-14 | 15:08:57.209 | SUCCESS | root:success:13 | Thread 14164 | Данные успешно получены
2024-08-14 | 15:08:57.211 | DEBUG | aioredis:create_connection:110 | Thread 14164 | Creating tcp connection to ('localhost', 6379)
2024-08-14 | 15:08:57.211 | DEBUG | httpcore.http11:atrace:85 | Thread 14164 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Server', b'nginx'), (b'Date', b'Wed, 14 Aug 2024 10:08:53 GMT'), (b'Content-Type', b'text/xml; charset=utf-8'), (b'Transfer-Encoding', b'chunked'), (b'Connection', b'keep-alive'), (b'Vary', b'Accept-Encoding'), (b'User-Remote-Ip-Address', b'90.156.160.97'), (b'X-XSS-Protection', b'1; mode=block'), (b'X-Content-Type-Options', b'nosniff'), (b'Referrer-Policy', b'no-referrer-when-downgrade'), (b'Referrer-Policy', b'strict-origin-when-cross-origin'), (b'Content-Security-Policy', b'frame-ancestors http://*.upay.uz https://*.upay.uz'), (b'Permissions-Policy', b'interest-cohort=()'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'X-Frame-Options', b'SAMEORIGIN'), (b'X-Permitted-Cross-Domain-Policies', b'master-only'), (b'Feature-Policy', b"camera 'none'; microphone 'none'; geolocation *"), (b'Expect-CT', b'max-age=86400, enforce, report-uri="https://upay.uz/ct_report"'), (b'Content-Encoding', b'gzip')])
2024-08-14 | 15:08:57.211 | INFO | httpx:_send_single_request:1773 | Thread 14164 | HTTP Request: POST https://api.upay.uz/STAPI/STWS?wsdl "HTTP/1.1 200 OK"
2024-08-14 | 15:08:57.212 | DEBUG | httpcore.http11:atrace:85 | Thread 14164 | receive_response_body.started request=<Request [b'POST']>
2024-08-14 | 15:08:57.212 | DEBUG | httpcore.http11:atrace:85 | Thread 14164 | receive_response_body.complete
2024-08-14 | 15:08:57.212 | DEBUG | httpcore.http11:atrace:85 | Thread 14164 | response_closed.started
2024-08-14 | 15:08:57.212 | DEBUG | httpcore.http11:atrace:85 | Thread 14164 | response_closed.complete
2024-08-14 | 15:08:57.213 | DEBUG | httpcore.connection:atrace:85 | Thread 14164 | close.started
2024-08-14 | 15:08:57.214 | DEBUG | httpcore.connection:atrace:85 | Thread 14164 | close.complete
2024-08-14 | 15:08:57.214 | SUCCESS | root:success:13 | Thread 14164 | Данные успешно получены
2024-08-14 | 15:08:57.214 | DEBUG | aioredis:create_connection:110 | Thread 14164 | Creating tcp connection to ('localhost', 6379)
2024-08-14 | 15:08:59.269 | INFO | root:save_balance:183 | Thread 14164 | Redis успешно закрыт
2024-08-14 | 15:08:59.270 | INFO | root:save_balance:183 | Thread 14164 | Redis успешно закрыт
2024-08-14 | 15:08:59.271 | DEBUG | aioredis:_do_close:158 | Thread 14164 | Closed 1 connection(s)
2024-08-14 | 15:08:59.271 | DEBUG | aioredis:_do_close:158 | Thread 14164 | Closed 1 connection(s)
2024-08-14 | 15:15:35.440 | DEBUG | passlib.utils.compat:__getattr__:449 | Thread 5280 | loaded lazy attr 'SafeConfigParser': <class 'configparser.ConfigParser'>
2024-08-14 | 15:15:35.440 | DEBUG | passlib.utils.compat:__getattr__:449 | Thread 5280 | loaded lazy attr 'NativeStringIO': <class '_io.StringIO'>
2024-08-14 | 15:15:35.440 | DEBUG | passlib.utils.compat:__getattr__:449 | Thread 5280 | loaded lazy attr 'BytesIO': <class '_io.BytesIO'>
2024-08-14 | 15:15:35.442 | DEBUG | passlib.registry:register_crypt_handler:296 | Thread 5280 | registered 'bcrypt' handler: <class 'passlib.handlers.bcrypt.bcrypt'>
2024-08-14 | 15:15:35.834 | DEBUG | aioredis:create_connection:110 | Thread 5280 | Creating tcp connection to ('localhost', 6379)
2024-08-14 | 15:15:37.886 | DEBUG | aioredis:create_connection:110 | Thread 5280 | Creating tcp connection to ('localhost', 6379)
2024-08-14 | 15:15:37.887 | DEBUG | aioredis:create_connection:110 | Thread 5280 | Creating tcp connection to ('localhost', 6379)
2024-08-14 | 15:15:37.887 | DEBUG | aioredis:_do_close:158 | Thread 5280 | Closed 1 connection(s)
2024-08-14 | 15:15:39.927 | INFO | root:get_uzcard_id:101 | Thread 5280 | Redis успешно закрыт
2024-08-14 | 15:15:39.927 | INFO | root:get_uzcard_id:101 | Thread 5280 | Redis успешно закрыт
2024-08-14 | 15:15:39.928 | DEBUG | aioredis:_do_close:158 | Thread 5280 | Closed 1 connection(s)
2024-08-14 | 15:15:39.928 | DEBUG | aioredis:_do_close:158 | Thread 5280 | Closed 1 connection(s)
2024-08-14 | 15:15:39.928 | DEBUG | httpx:load_ssl_context:80 | Thread 5280 | load_ssl_context verify=True cert=None trust_env=True http2=False
2024-08-14 | 15:15:39.929 | DEBUG | httpx:load_ssl_context_verify:146 | Thread 5280 | load_verify_locations cafile='C:\\Users\\user\\Desktop\\weel_bicycle\\venv\\Lib\\site-packages\\certifi\\cacert.pem'
2024-08-14 | 15:15:40.089 | DEBUG | httpcore.connection:atrace:85 | Thread 5280 | connect_tcp.started host='api.upay.uz' port=443 local_address=None timeout=5.0 socket_options=None
2024-08-14 | 15:15:40.090 | DEBUG | httpx:load_ssl_context:80 | Thread 5280 | load_ssl_context verify=True cert=None trust_env=True http2=False
2024-08-14 | 15:15:40.091 | DEBUG | httpx:load_ssl_context_verify:146 | Thread 5280 | load_verify_locations cafile='C:\\Users\\user\\Desktop\\weel_bicycle\\venv\\Lib\\site-packages\\certifi\\cacert.pem'
2024-08-14 | 15:15:40.252 | DEBUG | httpcore.connection:atrace:85 | Thread 5280 | connect_tcp.started host='api.upay.uz' port=443 local_address=None timeout=5.0 socket_options=None
2024-08-14 | 15:15:40.279 | DEBUG | httpcore.connection:atrace:85 | Thread 5280 | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x0000020607B0B790>
2024-08-14 | 15:15:40.279 | DEBUG | httpcore.connection:atrace:85 | Thread 5280 | start_tls.started ssl_context=<ssl.SSLContext object at 0x00000206079CD6D0> server_hostname='api.upay.uz' timeout=5.0
2024-08-14 | 15:15:40.280 | DEBUG | httpcore.connection:atrace:85 | Thread 5280 | connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x0000020606897E50>
2024-08-14 | 15:15:40.280 | DEBUG | httpcore.connection:atrace:85 | Thread 5280 | start_tls.started ssl_context=<ssl.SSLContext object at 0x00000206079CC830> server_hostname='api.upay.uz' timeout=5.0
2024-08-14 | 15:15:40.310 | DEBUG | httpcore.connection:atrace:85 | Thread 5280 | start_tls.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x0000020607B81250>
2024-08-14 | 15:15:40.311 | DEBUG | httpcore.http11:atrace:85 | Thread 5280 | send_request_headers.started request=<Request [b'POST']>
2024-08-14 | 15:15:40.311 | DEBUG | httpcore.http11:atrace:85 | Thread 5280 | send_request_headers.complete
2024-08-14 | 15:15:40.312 | DEBUG | httpcore.http11:atrace:85 | Thread 5280 | send_request_body.started request=<Request [b'POST']>
2024-08-14 | 15:15:40.312 | DEBUG | httpcore.http11:atrace:85 | Thread 5280 | send_request_body.complete
2024-08-14 | 15:15:40.312 | DEBUG | httpcore.http11:atrace:85 | Thread 5280 | receive_response_headers.started request=<Request [b'POST']>
2024-08-14 | 15:15:40.313 | DEBUG | httpcore.connection:atrace:85 | Thread 5280 | start_tls.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x0000020607B09C90>
2024-08-14 | 15:15:40.314 | DEBUG | httpcore.http11:atrace:85 | Thread 5280 | send_request_headers.started request=<Request [b'POST']>
